QueryId,Iteration,DocId,Relevance
Q01,1,C00186.txt,1
Q01,1,C00968.txt,1
Q01,1,C00070.txt,1
Q01,1,C00022.txt,1
Q01,1,S00436.txt,1
Q01,1,C00038.txt,1
Q01,1,C00081.txt,1
Q01,1,C00227.txt,1
Q01,1,C00009.txt,1
Q01,1,R00151.txt,1
Q02,1,S00457.txt,1
Q02,1,L00192.txt,1
Q02,1,R00450.txt,1
Q02,1,R00120.txt,1
Q02,1,R00398.txt,1
Q02,1,M00189.txt,1
Q02,1,S00751.txt,1
Q02,1,P_1312.txt,1
Q02,1,C00214.txt,1
Q02,1,L00109.txt,1
Q03,1,D00071.txt,1
Q03,1,D00565.txt,1
Q03,1,D00602.txt,1
Q03,1,D00160.txt,1
Q03,1,D00696.txt,1
Q03,1,D00515.txt,1
Q03,1,D00028.txt,1
Q03,1,D00343.txt,1
Q03,1,D00943.txt,1
Q03,1,D00309.txt,1
Q04,1,D00110.txt,1
Q04,1,D00247.txt,1
Q04,1,D00510.txt,1
Q04,1,D00422.txt,1
Q04,1,D00585.txt,1
Q04,1,D00487.txt,1
Q04,1,D00444.txt,1
Q04,1,D00104.txt,1
Q04,1,R00296.txt,1
Q04,1,D00913.txt,1
Q05,1,L00097.txt,1
Q05,1,L00389.txt,1
Q05,1,L00006.txt,1
Q05,1,L00201.txt,1
Q05,1,L00220.txt,1
Q05,1,S00983.txt,1
Q05,1,L00157.txt,1
Q05,1,L00081.txt,1
Q05,1,L00250.txt,1
Q05,1,L00019.txt,1
Q06,1,L00166.txt,1
Q06,1,L00140.txt,1
Q06,1,L00217.txt,1
Q06,1,S00278.txt,1
Q06,1,L00192.txt,1
Q06,1,L00499.txt,1
Q06,1,L00283.txt,1
Q06,1,L00376.txt,1
Q06,1,L00439.txt,1
Q06,1,L00234.txt,1
Q07,1,P_522.txt,1
Q07,1,T00148.txt,1
Q07,1,P_340.txt,1
Q07,1,P_524.txt,1
Q07,1,P_88.txt,1
Q07,1,L00175.txt,1
Q07,1,P_68.txt,1
Q07,1,P_397.txt,1
Q07,1,P_121.txt,1
Q07,1,P01034.txt,1
Q08,1,P_2035.txt,1
Q08,1,P_533.txt,1
Q08,1,P_1609.txt,1
Q08,1,R00432.txt,1
Q08,1,P02061.txt,1
Q08,1,P_895.txt,1
Q08,1,P_116.txt,1
Q08,1,P_1605.txt,1
Q08,1,P_1851.txt,1
Q08,1,P02164.txt,1
Q09,1,P_1784.txt,1
Q09,1,P_175.txt,1
Q09,1,P_178.txt,1
Q09,1,P_182.txt,1
Q09,1,P_179.txt,1
Q09,1,P_183.txt,1
Q09,1,P_177.txt,1
Q09,1,P_1960.txt,1
Q09,1,P_176.txt,1
Q09,1,P_1500.txt,1
Q10,1,P_747.txt,1
Q10,1,P_1285.txt,1
Q10,1,P_119.txt,1
Q10,1,P_1463.txt,1
Q10,1,P_1290.txt,1
Q10,1,P_1411.txt,1
Q10,1,P_16.txt,1
Q10,1,P01163.txt,1
Q10,1,P_47.txt,1
Q10,1,P_1234.txt,1
Q11,1,P_139.txt,1
Q11,1,P_138.txt,1
Q11,1,P_1185.txt,1
Q11,1,P_1229.txt,1
Q11,1,P_1736.txt,1
Q11,1,P_1711.txt,1
Q11,1,P_1196.txt,1
Q11,1,P_1032.txt,1
Q11,1,P_1153.txt,1
Q11,1,P_1155.txt,1
Q12,1,P_934.txt,1
Q12,1,P_79.txt,1
Q12,1,P_1398.txt,1
Q12,1,P_1389.txt,1
Q12,1,P_1987.txt,1
Q12,1,P05026.txt,1
Q12,1,P_941.txt,1
Q12,1,P_2028.txt,1
Q12,1,P_518.txt,1
Q12,1,P_2014.txt,1
Q13,1,P_676.txt,1
Q13,1,P_855.txt,1
Q13,1,P_1129.txt,1
Q13,1,P_1128.txt,1
Q13,1,P_954.txt,1
Q13,1,P_963.txt,1
Q13,1,P_928.txt,1
Q13,1,P_1114.txt,1
Q13,1,P_1551.txt,1
Q13,1,P_927.txt,1
Q14,1,P_992.txt,1
Q14,1,P_277.txt,1
Q14,1,P_165.txt,1
Q14,1,P_1155.txt,1
Q14,1,P_1153.txt,1
Q14,1,P_1696.txt,1
Q14,1,P_1019.txt,1
Q14,1,P_1200.txt,1
Q14,1,P_1728.txt,1
Q14,1,P_1159.txt,1
Q15,1,P_1615.txt,1
Q15,1,P01177.txt,1
Q15,1,P03006.txt,1
Q15,1,P_1590.txt,1
Q15,1,P_809.txt,1
Q15,1,P_658.txt,1
Q15,1,P_736.txt,1
Q15,1,P_741.txt,1
Q15,1,P02040.txt,1
Q15,1,P04083.txt,1
Q16,1,S00501.txt,1
Q16,1,P_1094.txt,1
Q16,1,P04011.txt,1
Q16,1,P_1899.txt,1
Q16,1,P_1336.txt,1
Q16,1,P06052.txt,1
Q16,1,P_1007.txt,1
Q16,1,L00044.txt,1
Q16,1,P04010.txt,1
Q16,1,P04009.txt,1
Q17,1,P_1144.txt,1
Q17,1,M00192.txt,1
Q17,1,P_1707.txt,1
Q17,1,P_722.txt,1
Q17,1,P_1768.txt,1
Q17,1,P_1194.txt,1
Q17,1,P_1745.txt,1
Q17,1,P06071.txt,1
Q17,1,P_1191.txt,1
Q17,1,P_1706.txt,1
Q18,1,P_448.txt,1
Q18,1,L00225.txt,1
Q18,1,P02044.txt,1
Q18,1,P05012.txt,1
Q18,1,P03115.txt,1
Q18,1,P01154.txt,1
Q18,1,P01006.txt,1
Q18,1,P03109.txt,1
Q18,1,P02105.txt,1
Q18,1,P_1844.txt,1
Q19,1,R00500.txt,1
Q19,1,R00270.txt,1
Q19,1,D00451.txt,1
Q19,1,P_941.txt,1
Q19,1,P_2013.txt,1
Q19,1,P_533.txt,1
Q19,1,R00262.txt,1
Q19,1,P_2011.txt,1
Q19,1,P_1851.txt,1
Q19,1,P_116.txt,1
Q20,1,R00507.txt,1
Q20,1,P01105.txt,1
Q20,1,S00183.txt,1
Q20,1,P01152.txt,1
Q20,1,R00471.txt,1
Q20,1,P_2083.txt,1
Q20,1,R00130.txt,1
Q20,1,P_114.txt,1
Q20,1,P_552.txt,1
Q20,1,P_91.txt,1
