QueryId,Iteration,DocId,Relevance
Q01,1,C00022.txt,1
Q01,1,P_157.txt,0
Q01,1,C00597.txt,0
Q01,1,L00156.txt,0
Q01,1,T00082.txt,0
Q01,1,C00221.txt,0
Q01,1,C00921.txt,0
Q01,1,P_1836.txt,0
Q01,1,C00533.txt,0
Q01,1,D00806.txt,0
Q02,1,L00113.txt,1
Q02,1,C00545.txt,1
Q02,1,D00422.txt,1
Q02,1,D00624.txt,1
Q02,1,L00109.txt,1
Q02,1,D00328.txt,1
Q02,1,C00068.txt,1
Q02,1,S00048.txt,1
Q02,1,C00390.txt,1
Q02,1,D00858.txt,1
Q03,1,D00515.txt,1
Q03,1,D00026.txt,1
Q03,1,C00533.txt,0
Q03,1,P_157.txt,0
Q03,1,L00156.txt,0
Q03,1,T00082.txt,0
Q03,1,C00221.txt,0
Q03,1,C00921.txt,0
Q03,1,P_1836.txt,0
Q03,1,P06076.txt,0
Q04,1,D00533.txt,1
Q04,1,D00104.txt,1
Q04,1,D00145.txt,1
Q04,1,P_1836.txt,0
Q04,1,C00597.txt,0
Q04,1,L00156.txt,0
Q04,1,T00082.txt,0
Q04,1,C00221.txt,0
Q04,1,C00921.txt,0
Q04,1,P_157.txt,0
Q05,1,L00469.txt,1
Q05,1,L00097.txt,1
Q05,1,C00533.txt,0
Q05,1,P06076.txt,0
Q05,1,T00082.txt,0
Q05,1,C00221.txt,0
Q05,1,C00921.txt,0
Q05,1,P_1836.txt,0
Q05,1,P_157.txt,0
Q05,1,P_501.txt,0
Q06,1,L00113.txt,1
Q06,1,L00127.txt,1
Q06,1,L00133.txt,1
Q06,1,L00109.txt,1
Q06,1,L00006.txt,1
Q06,1,L00166.txt,1
Q06,1,L00092.txt,1
Q06,1,L00118.txt,1
Q06,1,L00117.txt,1
Q06,1,L00140.txt,1
Q07,1,P_738.txt,1
Q07,1,P_1335.txt,1
Q07,1,P_74.txt,1
Q07,1,P_629.txt,1
Q07,1,P_68.txt,1
Q07,1,P_1174.txt,1
Q07,1,P_399.txt,1
Q07,1,P_1582.txt,1
Q07,1,L00156.txt,0
Q07,1,T00082.txt,0
Q08,1,P_169.txt,1
Q08,1,P_1973.txt,1
Q08,1,P_2.txt,1
Q08,1,P_1174.txt,1
Q08,1,D00826.txt,1
Q08,1,P_80.txt,1
Q08,1,P_1098.txt,1
Q08,1,P_381.txt,1
Q08,1,P_1582.txt,1
Q08,1,P_1550.txt,1
Q09,1,P_1973.txt,1
Q09,1,P_96.txt,1
Q09,1,P06076.txt,0
Q09,1,L00156.txt,0
Q09,1,T00082.txt,0
Q09,1,C00221.txt,0
Q09,1,C00921.txt,0
Q09,1,P_1836.txt,0
Q09,1,P_157.txt,0
Q09,1,P_205.txt,0
Q10,1,P_119.txt,1
Q10,1,C00533.txt,0
Q10,1,P_205.txt,0
